province,max,min,rain,humidi,date
Ho Chi Minh City,29,22,18.5,89,1/1/2009
Ho Chi Minh City,34,24,0,59,1/1/2010
Ho Chi Minh City,29,23,0.2,81,1/1/2011
Ho Chi Minh City,32,23,1.8,76,1/1/2012
Ho Chi Minh City,33,24,0,69,1/1/2013
Ho Chi Minh City,29,21,0,72,1/1/2014
Ho Chi Minh City,31,22,0.2,72,1/1/2015
Ho Chi Minh City,34,23,0,57,1/1/2016
Ho Chi Minh City,32,24,1.9,74,1/1/2017
Ho Chi Minh City,33,23,0,59,1/1/2018
Ho Chi Minh City,29,24,3.3,66,1/1/2019
Ho Chi Minh City,35,24,0,51,1/1/2020
Ho Chi Minh City,30,23,0,63,1/1/2021
Ho Chi Minh City,25,22,7.2,87,1/3/2009
Ho Chi Minh City,33,26,0,65,1/3/2010
Ho Chi Minh City,33,23,0.1,73,1/3/2011
Ho Chi Minh City,30,23,0.1,79,1/3/2012
Ho Chi Minh City,34,25,5.2,68,1/3/2013
Ho Chi Minh City,32,22,0,74,1/3/2014
Ho Chi Minh City,32,22,0,67,1/3/2015
Ho Chi Minh City,33,25,3.4,70,1/3/2016
Ho Chi Minh City,33,23,0,70,1/3/2017
Ho Chi Minh City,34,24,0,64,1/3/2018
Ho Chi Minh City,31,23,3.5,73,1/3/2019
Ho Chi Minh City,35,25,0,59,1/3/2020
Ho Chi Minh City,31,24,2.5,70,1/3/2021
Ho Chi Minh City,29,21,0.5,83,1/4/2009
Ho Chi Minh City,35,25,0.1,61,1/4/2010
Ho Chi Minh City,28,24,2.8,83,1/4/2011
Ho Chi Minh City,31,23,0.1,77,1/4/2012
Ho Chi Minh City,32,25,0.5,70,1/4/2013
Ho Chi Minh City,33,23,3,74,1/4/2014
Ho Chi Minh City,32,24,0,71,1/4/2015
Ho Chi Minh City,30,24,0.6,74,1/4/2016
Ho Chi Minh City,32,23,4.4,71,1/4/2017
Ho Chi Minh City,34,25,0,66,1/4/2018
Ho Chi Minh City,32,25,0,71,1/4/2019
Ho Chi Minh City,34,24,0,61,1/4/2020
Ho Chi Minh City,32,24,0,68,1/4/2021
Ho Chi Minh City,31,21,0,77,1/5/2009
Ho Chi Minh City,35,26,0,57,1/5/2010
Ho Chi Minh City,32,24,2.5,74,1/5/2011
Ho Chi Minh City,33,23,0,76,1/5/2012
Ho Chi Minh City,29,22,0,72,1/5/2013
Ho Chi Minh City,31,23,1.7,79,1/5/2014
Ho Chi Minh City,33,24,1.1,70,1/5/2015
Ho Chi Minh City,33,25,0.4,66,1/5/2016
Ho Chi Minh City,32,24,1.6,72,1/5/2017
Ho Chi Minh City,33,26,0.1,70,1/5/2018
Ho Chi Minh City,32,25,0,68,1/5/2019
Ho Chi Minh City,35,25,0,60,1/5/2020
Ho Chi Minh City,26,25,3.4,77,1/5/2021
Ho Chi Minh City,32,22,0.3,77,1/6/2009
Ho Chi Minh City,34,25,0,56,1/6/2010
Ho Chi Minh City,33,23,3.2,74,1/6/2011
Ho Chi Minh City,33,23,0.4,74,1/6/2012
Ho Chi Minh City,26,22,8.8,84,1/6/2013
Ho Chi Minh City,30,23,0.2,76,1/6/2014
Ho Chi Minh City,33,25,4.7,74,1/6/2015
Ho Chi Minh City,34,25,0.1,67,1/6/2016
Ho Chi Minh City,32,24,1.5,69,1/6/2017
Ho Chi Minh City,33,25,0,72,1/6/2018
Ho Chi Minh City,34,25,0,63,1/6/2019
Ho Chi Minh City,33,25,0,59,1/6/2020
Ho Chi Minh City,29,24,0,73,1/6/2021
Ho Chi Minh City,31,22,0,74,1/8/2009
Ho Chi Minh City,35,24,0,57,1/8/2010
Ho Chi Minh City,32,22,0,72,1/8/2011
Ho Chi Minh City,31,22,0,68,1/8/2012
Ho Chi Minh City,31,23,1.7,82,1/8/2013
Ho Chi Minh City,31,25,0,70,1/8/2014
Ho Chi Minh City,33,25,0,69,1/8/2015
Ho Chi Minh City,33,25,0,65,1/8/2016
Ho Chi Minh City,33,24,0,68,1/8/2017
Ho Chi Minh City,34,26,0,69,1/8/2018
Ho Chi Minh City,32,24,0.1,64,1/8/2019
Ho Chi Minh City,34,25,0,59,1/8/2020
Ho Chi Minh City,33,25,0,65,1/8/2021
Ho Chi Minh City,32,23,3.8,81,1/7/2009
Ho Chi Minh City,35,25,0,55,1/7/2010
Ho Chi Minh City,29,21,0.5,75,1/7/2011
Ho Chi Minh City,31,23,0.6,72,1/7/2012
Ho Chi Minh City,27,23,17,91,1/7/2013
Ho Chi Minh City,32,22,0.2,70,1/7/2014
Ho Chi Minh City,33,24,1.4,74,1/7/2015
Ho Chi Minh City,34,25,0,65,1/7/2016
Ho Chi Minh City,32,24,2,70,1/7/2017
Ho Chi Minh City,33,25,0,71,1/7/2018
Ho Chi Minh City,35,25,0,59,1/7/2019
Ho Chi Minh City,33,25,0.1,61,1/7/2020
Ho Chi Minh City,33,25,0,68,1/7/2021
Ho Chi Minh City,28,18,0,66,1/10/2009
Ho Chi Minh City,33,25,1.3,62,1/10/2010
Ho Chi Minh City,32,22,0,70,1/10/2011
Ho Chi Minh City,30,23,0.1,71,1/10/2012
Ho Chi Minh City,32,24,8.1,81,1/10/2013
Ho Chi Minh City,32,23,0,66,1/10/2014
Ho Chi Minh City,33,24,0,68,1/10/2015
Ho Chi Minh City,34,25,0,65,1/10/2016
Ho Chi Minh City,33,25,0.4,71,1/10/2017
Ho Chi Minh City,33,25,3.9,65,1/10/2018
Ho Chi Minh City,33,25,0,62,1/10/2019
Ho Chi Minh City,34,25,0,62,1/10/2020
Ho Chi Minh City,32,22,0,61,1/10/2021
